drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.05,42,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,43,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,44,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,45,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,46,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,47,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,48,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.05,49,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,0,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,1,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.1,2,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,3,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,4,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,5,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,6,1.0,3,"[50.808504202101744, 121.94041008504416, 203.23401680840698]",S0013,1
0.1,7,1.0,3,"[50.808504202101744, 132.1021109254645, 213.39571764882726]",S0013,1
0.1,8,0.8,2,"[50.808504202101744, 182.91061512756625]",S0013,1
0.1,9,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,10,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,11,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.1,12,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,13,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,14,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,15,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,16,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,17,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,18,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,19,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,20,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,21,0.6666666666666666,3,"[50.808504202101744, 132.1021109254645, 223.55741848924762]",S0013,1
0.1,22,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,23,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,24,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,25,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,26,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,27,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,28,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,29,1.0,3,"[71.13190588294243, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,30,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,31,1.0,3,"[71.13190588294243, 132.1021109254645, 213.39571764882726]",S0013,1
0.1,32,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,33,1.0,3,"[50.808504202101744, 121.94041008504416, 193.07231596798658]",S0013,1
0.1,34,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,35,1.0,3,"[50.808504202101744, 121.94041008504416, 203.23401680840698]",S0013,1
0.1,36,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,37,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,38,1.0,3,"[50.808504202101744, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,39,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
0.1,40,1.0,3,"[50.808504202101744, 132.1021109254645, 203.23401680840698]",S0013,1
0.1,41,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,42,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,43,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,44,1.0,3,"[50.808504202101744, 121.94041008504416, 193.07231596798658]",S0013,1
0.1,45,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.1,46,0.8,2,"[71.13190588294243, 193.07231596798658]",S0013,1
