curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片31_ecc2d60ecd,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_3__Series_3.csv,图片31,samples_test__unknown__unknown__图片31__Series_3__Series_3,,,,,,50,0,,,
图片31_264e1a2bad,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_4__Series_4.csv,图片31,samples_test__unknown__unknown__图片31__Series_4__Series_4,,,,,,50,0,,,
图片35_3575e71e8c,False,record_35_no_observed_early_0_150h_segment,lab-v2/som_references/accepted/samples_test/图片35/accepted/samples_test__unknown__unknown__图片35__Series_1__Series_1.csv,图片35,samples_test__unknown__unknown__图片35__Series_1__Series_1,Time (h),(h),PCE (relative %),(relative %),1.0,25,0,152.87783837402958,10092.634846368906,9939.757007994876
图片4_a802b6b796,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_1__Series_1.csv,图片4,samples_test__unknown__unknown__图片4__Series_1__Series_1,,,,,,32,0,,,
图片4_c840bf00dc,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_2__Series_2.csv,图片4,samples_test__unknown__unknown__图片4__Series_2__Series_2,,,,,,32,0,,,
图片4_70ca9d1b12,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_3__Series_3.csv,图片4,samples_test__unknown__unknown__图片4__Series_3__Series_3,,,,,,32,0,,,
图片51_67812c0804,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_1__Series_1.csv,图片51,samples_test__unknown__unknown__图片51__Series_1__Series_1,,,Normalized PCE,(a.u.),,17,0,,,
图片51_e7efb6e8fa,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_2__Series_2.csv,图片51,samples_test__unknown__unknown__图片51__Series_2__Series_2,,,Normalized PCE,(a.u.),,48,0,,,
图片52_0767a9abac,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_1__Series_1.csv,图片52,samples_test__unknown__unknown__图片52__Series_1__Series_1,,,,,,49,0,,,
图片52_64665d803b,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_2__Series_2.csv,图片52,samples_test__unknown__unknown__图片52__Series_2__Series_2,,,,,,48,0,,,
图片55_dc559d5a53,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_1__Series_1.csv,图片55,samples_test__unknown__unknown__图片55__Series_1__Series_1,,,,,,44,0,,,
图片55_f07a4993f5,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_2__Series_2.csv,图片55,samples_test__unknown__unknown__图片55__Series_2__Series_2,,,,,,44,0,,,
