window,T_h,id,duration_covers,n_original_in_window,included,reason
coverage080,164.82640238318905,C129,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C130,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C134,True,31,True,included
coverage080,164.82640238318905,C135,True,31,True,included
coverage080,164.82640238318905,C136,True,2,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C137,True,2,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C138,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C139,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C140,True,4,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C141,True,8,True,included
coverage080,164.82640238318905,C150,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C151,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C152,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C153,True,8,True,included
coverage080,164.82640238318905,C154,True,8,True,included
coverage080,164.82640238318905,C165,True,13,True,included
coverage080,164.82640238318905,C166,True,13,True,included
coverage080,164.82640238318905,C167,True,13,True,included
coverage080,164.82640238318905,C172,True,11,True,included
coverage080,164.82640238318905,C173,True,11,True,included
coverage080,164.82640238318905,C174,True,8,True,included
coverage080,164.82640238318905,C175,True,8,True,included
coverage080,164.82640238318905,C176,True,8,True,included
coverage080,164.82640238318905,C177,True,11,True,included
coverage080,164.82640238318905,C178,True,11,True,included
coverage080,164.82640238318905,C179,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C180,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C181,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C182,True,9,True,included
coverage080,164.82640238318905,C183,True,9,True,included
coverage080,164.82640238318905,C184,False,72,False,duration_short
coverage080,164.82640238318905,C186,True,18,True,included
coverage080,164.82640238318905,C191,True,24,True,included
coverage080,164.82640238318905,C192,True,7,True,included
coverage080,164.82640238318905,C193,True,7,True,included
coverage080,164.82640238318905,C194,True,11,True,included
coverage080,164.82640238318905,C195,True,11,True,included
coverage080,164.82640238318905,C197,True,8,True,included
coverage080,164.82640238318905,C198,True,8,True,included
coverage080,164.82640238318905,C199,True,8,True,included
coverage080,164.82640238318905,C202,True,3,False,fewer_than_6_original_points_in_window
coverage080,164.82640238318905,C205,False,33,False,duration_short
coverage080,164.82640238318905,C206,False,33,False,duration_short
coverage080,164.82640238318905,C207,False,33,False,duration_short
coverage080,164.82640238318905,C208,False,31,False,duration_short
coverage080,164.82640238318905,C209,False,30,False,duration_short
coverage080,164.82640238318905,C211,False,30,False,duration_short
coverage080,164.82640238318905,C212,False,34,False,duration_short
coverage080,164.82640238318905,C213,False,33,False,duration_short
coverage080,164.82640238318905,C214,False,33,False,duration_short
coverage080,164.82640238318905,C215,False,34,False,duration_short
coverage080,164.82640238318905,C216,True,13,True,included
coverage080,164.82640238318905,C217,False,65,False,duration_short
coverage080,164.82640238318905,C218,False,65,False,duration_short
coverage070,399.4283373072515,C003,False,30,False,duration_short
coverage070,399.4283373072515,C004,False,30,False,duration_short
coverage070,399.4283373072515,C005,True,24,True,included
coverage070,399.4283373072515,C006,True,26,True,included
coverage070,399.4283373072515,C007,True,21,True,included
coverage070,399.4283373072515,C008,True,21,True,included
coverage070,399.4283373072515,C009,True,10,True,included
coverage070,399.4283373072515,C010,True,10,True,included
coverage070,399.4283373072515,C011,False,50,False,duration_short
coverage070,399.4283373072515,C012,False,50,False,duration_short
coverage070,399.4283373072515,C014,True,20,True,included
coverage070,399.4283373072515,C015,True,34,True,included
coverage070,399.4283373072515,C016,True,34,True,included
coverage070,399.4283373072515,C017,True,34,True,included
coverage070,399.4283373072515,C018,True,9,True,included
coverage070,399.4283373072515,C019,True,9,True,included
coverage070,399.4283373072515,C024,False,8,False,duration_short
coverage070,399.4283373072515,C025,True,13,True,included
coverage070,399.4283373072515,C028,True,23,True,included
coverage070,399.4283373072515,C029,True,23,True,included
coverage070,399.4283373072515,C030,True,21,True,included
coverage070,399.4283373072515,C031,True,21,True,included
coverage070,399.4283373072515,C034,True,7,True,included
coverage070,399.4283373072515,C035,True,7,True,included
coverage070,399.4283373072515,C036,True,7,True,included
coverage070,399.4283373072515,C037,True,18,True,included
coverage070,399.4283373072515,C038,True,18,True,included
coverage070,399.4283373072515,C039,False,28,False,duration_short
coverage070,399.4283373072515,C040,False,28,False,duration_short
coverage070,399.4283373072515,C044,True,23,True,included
coverage070,399.4283373072515,C045,True,23,True,included
coverage070,399.4283373072515,C046,True,9,True,included
coverage070,399.4283373072515,C047,True,9,True,included
