candidate,mode,replicates,ARI_mean,ARI_median,ARI_p025,ARI_p975,ARI_min,actual_deleted_fraction
M007678,drop10,50,0.9389039268078583,1.0,0.4664295998046687,1.0,0.4356861340021498,0.09973473655196342
M009487,bootstrap90,50,0.8678349134255434,1.0,0.10778567076076745,1.0,0.042163882259347654,
M009487,bootstrap95,50,0.7905872842330733,1.0,0.047100934322543773,1.0,0.03755868544600939,
M009487,drop05,50,0.7128523771458286,0.8353098870650619,0.2976932700559364,1.0,0.2976932700559364,0.08819196550936834
M009487,drop10,50,0.7229120900719059,0.9404089825617865,0.2976932700559364,1.0,0.10862126062479302,0.09731037417565522
M009514,bootstrap90,50,0.4733731127456578,0.4422837723939833,0.04994092632576032,1.0,0.02737226277372263,
M009514,bootstrap95,50,0.46851134953845147,0.46146197334830075,0.029493358822195108,1.0,0.024574669187145556,
M009514,drop05,50,0.5227574077985846,0.446883031226546,0.09274588423686614,1.0,0.09274588423686614,0.08819196550936834
M009514,drop10,50,0.5019296756254711,0.446883031226546,0.09274588423686614,1.0,0.09274588423686614,0.09731037417565522
M010621,bootstrap90,50,0.6498483559534027,0.9025949986370904,0.08330427678797492,1.0,0.05862068965517241,
M010621,bootstrap95,50,0.6865178519736755,1.0,0.0984512391063437,1.0,0.09033152362250202,
M010621,drop05,50,0.6647083680452859,1.0,0.07840178820899693,1.0,0.07840178820899693,0.08819196550936834
M010621,drop10,50,0.6533164028234038,0.885231324912378,0.07840178820899693,1.0,0.07840178820899693,0.09731037417565522
M011422,bootstrap90,50,0.8151696011778208,0.8049034474288066,0.5522657724018355,1.0,0.4107020494611599,
M011422,bootstrap95,50,0.8679638889802558,0.8901736434637813,0.5338126282462657,1.0,0.48903908316191597,
M011422,drop05,50,0.8784325287506211,0.9316723726229178,0.7311540918098295,1.0,0.4373873487254313,0.08819196550936834
M011422,drop10,50,0.9088466906306977,0.9316723726229178,0.7311540918098295,1.0,0.7311540918098295,0.09731037417565522
M011593,bootstrap90,50,0.5443050748020769,0.7920594626109078,-0.11040485117216219,1.0,-0.11987256073277579,
M011593,bootstrap95,50,0.47381899546359807,0.6330807023187279,-0.09184450727240265,1.0,-0.1153145097499742,
M011593,drop05,50,0.5584366421098558,0.7743080760753362,-0.111851933400778,1.0,-0.11282916315246931,0.08819196550936834
M011593,drop10,50,0.45812700542705437,0.5716009089750143,-0.11265623628432245,1.0,-0.11282916315246931,0.09731037417565522
M011746,bootstrap90,50,0.8117742304336798,0.8049034474288066,0.5409445657105225,1.0,0.4107020494611599,
M011746,bootstrap95,50,0.8679638889802558,0.8901736434637813,0.5338126282462657,1.0,0.48903908316191597,
M011746,drop05,50,0.8784325287506211,0.9316723726229178,0.7311540918098295,1.0,0.4373873487254313,0.08819196550936834
M011746,drop10,50,0.9125750056894794,0.9316723726229178,0.7901981545908334,1.0,0.7311540918098295,0.09731037417565522
M011881,bootstrap90,50,0.8549727864070911,0.891738939884646,0.4129133038271284,1.0,0.3434436906956714,
M011881,bootstrap95,50,0.9100450085596856,0.9100207489992082,0.6500423853579446,1.0,0.5827591056110252,
M011881,drop05,50,0.9304723763421857,0.9345322432147839,0.7447409073288621,1.0,0.396081070974497,0.08819196550936834
M011881,drop10,50,0.9422253447815304,0.9345322432147839,0.7906339248516173,1.0,0.7314171280480622,0.09731037417565522
M011908,bootstrap90,50,0.8117742304336798,0.8049034474288066,0.5409445657105225,1.0,0.4107020494611599,
M011908,bootstrap95,50,0.8679638889802558,0.8901736434637813,0.5338126282462657,1.0,0.48903908316191597,
M011908,drop05,50,0.8784325287506211,0.9316723726229178,0.7311540918098295,1.0,0.4373873487254313,0.08819196550936834
M011908,drop10,50,0.9126751748699847,0.9316723726229178,0.7444390059355553,1.0,0.7311540918098295,0.09731037417565522
M012070,bootstrap90,50,0.8117041131024993,0.8049034474288066,0.5409445657105225,1.0,0.4107020494611599,
