candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M001162,coverage100,bootstrap90,27,1.0,18,
M001162,coverage100,bootstrap90,28,0.0,17,
M001162,coverage100,bootstrap90,29,1.0,16,
M001162,coverage100,bootstrap90,30,1.0,19,
M001162,coverage100,bootstrap90,31,1.0,15,
M001162,coverage100,bootstrap90,32,1.0,19,
M001162,coverage100,bootstrap90,33,1.0,16,
M001162,coverage100,bootstrap90,34,1.0,17,
M001162,coverage100,bootstrap90,35,1.0,22,
M001162,coverage100,bootstrap90,36,0.764391071661663,20,
M001162,coverage100,bootstrap90,37,1.0,18,
M001162,coverage100,bootstrap90,38,1.0,18,
M001162,coverage100,bootstrap90,39,1.0,17,
M001162,coverage100,bootstrap90,40,1.0,18,
M001162,coverage100,bootstrap90,41,1.0,20,
M001162,coverage100,bootstrap90,42,0.6830530401034929,15,
M001162,coverage100,bootstrap90,43,1.0,16,
M001162,coverage100,bootstrap90,44,0.5985915492957746,19,
M001162,coverage100,bootstrap90,45,1.0,18,
M001162,coverage100,bootstrap90,46,1.0,16,
M001162,coverage100,bootstrap90,47,1.0,16,
M001162,coverage100,bootstrap90,48,1.0,18,
M001162,coverage100,bootstrap90,49,1.0,18,
M001162,coverage100,bootstrap95,0,0.0,19,
M001162,coverage100,bootstrap95,1,1.0,20,
M001162,coverage100,bootstrap95,2,1.0,20,
M001162,coverage100,bootstrap95,3,1.0,16,
M001162,coverage100,bootstrap95,4,1.0,17,
M001162,coverage100,bootstrap95,5,1.0,19,
M001162,coverage100,bootstrap95,6,1.0,14,
M001162,coverage100,bootstrap95,7,1.0,16,
M001162,coverage100,bootstrap95,8,1.0,19,
M001162,coverage100,bootstrap95,9,1.0,18,
M001162,coverage100,bootstrap95,10,1.0,19,
M001162,coverage100,bootstrap95,11,1.0,20,
M001162,coverage100,bootstrap95,12,1.0,19,
M001162,coverage100,bootstrap95,13,0.5833333333333334,16,
M001162,coverage100,bootstrap95,14,1.0,19,
M001162,coverage100,bootstrap95,15,1.0,18,
M001162,coverage100,bootstrap95,16,1.0,19,
M001162,coverage100,bootstrap95,17,0.0,14,
M001162,coverage100,bootstrap95,18,1.0,19,
M001162,coverage100,bootstrap95,19,1.0,16,
M001162,coverage100,bootstrap95,20,1.0,20,
M001162,coverage100,bootstrap95,21,1.0,16,
M001162,coverage100,bootstrap95,22,0.0,19,
M001162,coverage100,bootstrap95,23,0.7577903682719547,19,
M001162,coverage100,bootstrap95,24,1.0,16,
