curve_id,qc_status,qc_reason,n_points_original,pce_max,doi,figure_label,series_id,unit_label
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs_DEA__Series_3.csv,included,,18.0,1.0066469960283024,10.1002/cssc.201903025,Fig7_A,Series_3,days
x_time_day/10.1002_cssc.201903025/Fig7_A_stability_performance_curve_pce/accepted/10.1002_cssc.201903025__Fig7__A__stability_performance_curve_pce__NiO_NWs__Series_2.csv,included,,18.0,1.0045284409799013,10.1002/cssc.201903025,Fig7_A,Series_2,days
x_time_day/10.1002_cssc.202001350/Fig8_B_jv_curve_stability_performance_pce/accepted/10.1002_cssc.202001350__Fig8__B__jv_curve_stability_performance_pce__spiro-OMeTAD__Series_1.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 89% of window)",6.0,,10.1002/cssc.202001350,Fig8_B,Series_1,days
x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/accepted/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__W_O_PVB__Series_1.csv,included,,44.0,14.171152599575784,10.1002/ente.201800378,Fig9_C,Series_1,days
x_time_day/10.1002_ente.201800378/Fig9_C_jv_curve_stability_performance_pce_jsc/accepted/10.1002_ente.201800378__Fig9__C__jv_curve_stability_performance_pce_jsc__With_PVB__Series_2.csv,included,,44.0,19.26886965876873,10.1002/ente.201800378,Fig9_C,Series_2,days
x_time_day/10.1002_ente.201900990/Fig6_whole_stability/accepted/10.1002_ente.201900990__Fig6__whole__stability__Standard__Series_1.csv,included,,33.0,1.0013372577399786,10.1002/ente.201900990,Fig6,Series_1,days
x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/accepted/10.1002_ente.202200761__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,included,,11.0,0.9870601564699686,10.1002/ente.202200761,Fig5_F,Series_1,days
x_time_day/10.1002_ente.202200761/Fig5_F_stability_performance_curve/accepted/10.1002_ente.202200761__Fig5__F__stability_performance_curve__→—Brij_30__Series_2.csv,included,,11.0,0.9982604690985963,10.1002/ente.202200761,Fig5_F,Series_2,days
x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/accepted/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_Ag_CuO_Nfs_PEDOT_PSS__Series_2.csv,included,,15.0,1.0013003385394488,10.1002/pc.25527,Fig9_D,Series_2,days
x_time_day/10.1002_pc.25527/Fig9_D_stability_performance_curve/accepted/10.1002_pc.25527__Fig9__D__stability_performance_curve__based_on_PEDOT_PSS__Series_1.csv,included,,16.0,0.9887228782403382,10.1002/pc.25527,Fig9_D,Series_1,days
x_time_day/10.1002_pip.3352/Fig6_H_stability_performance_curve/accepted/10.1002_pip.3352__Fig6__H__stability_performance_curve__Control__Series_2.csv,excluded,Too few points after 0-200h filter: 1,,,10.1002/pip.3352,Fig6_H,Series_2,days
