k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
11,9,10,0.2186258818554994,0.16415859526247692,1.331796739037231
11,9,11,0.3921810684371354,0.16732330050141087,2.3438520950871906
11,10,11,0.1868928221341617,0.1725760413180577,1.0829592607801113
12,1,2,0.13349088116533675,0.14033356148957582,0.951239886940749
12,1,3,0.18584395837388698,0.18358750003002683,1.0122909149233532
12,1,4,0.10780325882589582,0.13812947449142465,0.7804507996777217
12,1,5,0.27038267252600834,0.22749283575674298,1.1885326921465222
12,1,6,0.31546618583919733,0.13170271029407155,2.3952900068253014
12,1,7,0.18149016557527778,0.1632771268055386,1.1115467862894888
12,1,8,0.23073525539685827,0.1462468765283081,1.5777106552576272
12,1,9,0.3960983543476024,0.2349681119798436,1.6857536582733452
12,1,10,0.42048706760758403,0.1429353865968922,2.9417982321861684
12,1,11,0.5192976005024621,0.23284617501399713,2.2302174406397075
12,1,12,0.22725252343534053,0.24090503363169624,0.9433282485195883
12,2,3,0.2860607347922358,0.16622509507725208,1.7209238752986777
12,2,4,0.16376432051497372,0.12076706953864988,1.3560345642283151
12,2,5,0.271727524473941,0.21013043080396823,1.2931374262847108
12,2,6,0.23645425289012756,0.1143403053412968,2.067986893898265
12,2,7,0.10366908025408479,0.14591472185276386,0.7104771810392971
12,2,8,0.12483008696655,0.12888447157553332,0.968542489568984
12,2,9,0.46617002439229077,0.21760570702706886,2.142269294133458
12,2,10,0.3660077792855094,0.12557298164411745,2.9147016698448787
12,2,11,0.5077021666424336,0.21548377006122238,2.3561039724624613
12,2,12,0.24870024888738643,0.2235426286789215,1.1125405939669757
12,3,4,0.1318151344095747,0.16402100807910092,0.8036478738504365
12,3,5,0.4398040304563823,0.2533843693444192,1.7357188669304513
12,3,6,0.49634664316071975,0.1575942438817478,3.149522666152437
12,3,7,0.3523258304923374,0.18916866039321487,1.8624957736655552
12,3,8,0.40373727687043853,0.17213841011598435,2.3454223644705805
12,3,9,0.4980002292881965,0.26085964556751984,1.9090734720763705
12,3,10,0.5992629169003438,0.16882692018456846,3.5495696790843856
12,3,11,0.6709877631206254,0.2587377086016734,2.5933126127881527
12,3,12,0.3435011646541608,0.2667965672193725,1.2875021902801254
12,4,5,0.36669954288792367,0.20792634380581704,1.7636030922103134
12,4,6,0.3904321656870194,0.11213621834314563,3.4817668319460027
12,4,7,0.247587291045821,0.14371063485461266,1.722818156751565
12,4,8,0.284214029139857,0.12668038457738215,2.2435519917943263
12,4,9,0.49281205561010083,0.21540162002891766,2.2878753444098554
12,4,10,0.5080571576950218,0.12336889464596629,4.118194940086005
12,4,11,0.6153492740010059,0.2132796830630712,2.88517530204241
12,4,12,0.3006325863375779,0.22133854168077033,1.3582477956829178
12,5,6,0.20036878144482093,0.20149957960846396,0.9943880867352661
12,5,7,0.2164178737535389,0.23307399611993102,0.928537191434168
12,5,8,0.22331815949831071,0.21604374584270047,1.0336710217055145
12,5,9,0.28338840034935253,0.304764981294236,0.9298588018409982
12,5,10,0.23300294861961138,0.21273225591128464,1.0952873489800259
12,5,11,0.32174315299607503,0.3026430443283895,1.0631110115551194
12,5,12,0.2606457433708569,0.3107019029460887,0.8388932957906046
12,6,7,0.1558740870331176,0.13728387065725958,1.1354144247744151
12,6,8,0.13177958493779535,0.12025362038002907,1.0958471314322311
12,6,9,0.42782179493024824,0.20897485583156458,2.04724053153589
12,6,10,0.14131953664904207,0.11694213044861321,1.2084570043910803
12,6,11,0.34681170406938017,0.2068529188657181,1.6766101535870448
12,6,12,0.2883294930324456,0.21491177748341722,1.3416179253121359
12,7,8,0.09582952934841078,0.1518280368914961,0.6311714971121924
12,7,9,0.4208631725327005,0.24054927234303164,1.7495923742913466
12,7,10,0.2780153248695869,0.14851654696008026,1.871948483587587
12,7,11,0.41882330096776094,0.23842733537718516,1.7566077325202438
12,7,12,0.21057994316893977,0.24648619399488428,0.8543275376036286
12,8,9,0.4644302235641015,0.2235190220658011,2.077810735174831
12,8,10,0.27005304519901296,0.13148629668284972,2.0538493516962597
12,8,11,0.4441187163436453,0.22139708509995465,2.0059826720082516
12,8,12,0.2810096317378423,0.22945594371765377,1.2246779367965535
12,9,10,0.4004655884819955,0.22020753213438526,1.8185826097792368
