k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
4,0.8,29,0.03328149998047444,4,0.08660217417536689,dtw_0,0.13970002517586755,0.1344689153123739
4,0.8,47,0.03479284525901262,4,0.10499008345970458,dtw_0,0.14353263358475635,0.11045652592675163
4,0.8,71,0.03466440186123323,4,0.049562697094730955,dtw_0,0.13227233582600237,0.13889716050413903
4,0.8,101,0.03479284525901262,4,0.10499008345970458,dtw_0,0.14353263358475635,0.11045652592675163
5,0.8,11,0.0318665805325696,5,-0.018264469261815994,dtw_0,0.12939721527135797,0.09186931946272286
5,0.8,29,0.03238914249159637,5,0.12628016081594332,dtw_0,0.1396172723580973,0.0789059454174168
5,0.8,47,0.03203032301367145,5,0.04507608502062855,dtw_0,0.12950210596838116,0.12016495904848765
5,0.8,71,0.0318665805325696,5,-0.018264469261815994,dtw_0,0.12939721527135797,0.09186931946272286
5,0.8,101,0.03219016230673884,5,0.022371012141895186,dtw_0,0.1353837842225718,0.035473847846512994
6,0.8,11,0.03677318433603233,6,-0.030988362862156452,dtw_0,0.1278424675505326,0.10067701860190983
6,0.8,29,0.03149557807578856,6,-0.07585607078368627,dtw_0,0.13390417110945188,0.015827191651017272
6,0.8,47,0.03211121742961213,6,0.05267845581593255,dtw_0,0.13778164613195698,0.043270283096068375
6,0.8,71,0.03263339945840116,6,0.06636946539426583,dtw_0,0.14185590731887693,0.06793046009493428
6,0.8,101,0.03248983248674926,6,0.020117008671692315,dtw_0,0.13755185686415664,-0.029690815206730285
7,0.8,11,0.03018875548551642,7,-0.020732164719741666,dtw_0,0.1291585934519289,0.04149827159340938
7,0.8,29,0.03127073975486464,7,0.04925708059184676,dtw_0,0.1322293484386588,0.03133246402182683
7,0.8,47,0.03088768383377506,7,-0.07886767487433871,dtw_0,0.13142068720648062,-0.011466372757293059
7,0.8,71,0.030146427248543363,7,-0.05214220196855974,dtw_0,0.12699641271808595,0.03309549918386948
7,0.8,101,0.029810519734323384,7,-0.00849989321600692,dtw_0,0.1317283567511591,-0.030919676168638804
