k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
7,0.5,0.1,71,50000,1x7,0.09536939574179712,7,0.277722941522046,0.12844036697247707,minmax
7,0.5,0.1,101,50000,1x7,0.0940347723690538,7,0.26602662497293933,0.44495412844036697,minmax
8,0.5,0.1,11,50000,2x4,0.09290045788225049,8,0.254243464534855,0.3073394495412844,minmax
8,0.5,0.1,29,50000,2x4,0.09096406418126361,8,0.2567291075109038,0.009174311926605505,minmax
8,0.5,0.1,47,50000,2x4,0.09126519316780118,8,0.25827184219053445,0.08256880733944955,minmax
8,0.5,0.1,71,50000,2x4,0.09230590022373193,8,0.28355967393330556,0.0871559633027523,minmax
8,0.5,0.1,101,50000,2x4,0.09102998760261297,8,0.2563889531108681,0.3302752293577982,minmax
9,0.5,0.1,11,50000,3x3,0.08890585393687317,9,0.26535949499219197,0.03669724770642202,minmax
9,0.5,0.1,29,50000,3x3,0.08824113057263286,9,0.2648440211565966,0.0963302752293578,minmax
9,0.5,0.1,47,50000,3x3,0.08835721519597843,9,0.2455083327936093,0.22018348623853212,minmax
9,0.5,0.1,71,50000,3x3,0.08860374799949197,9,0.26608754088781367,0.027522935779816515,minmax
9,0.5,0.1,101,50000,3x3,0.0873362430287044,9,0.2456179607748261,0.0045871559633027525,minmax
10,0.5,0.1,11,50000,2x5,0.08468549630182648,10,0.2469033360414956,0.01834862385321101,minmax
10,0.5,0.1,29,50000,2x5,0.08518069629090483,10,0.24718851157870902,0.2706422018348624,minmax
10,0.5,0.1,47,50000,2x5,0.08540467931813253,10,0.2507209642266005,0.26146788990825687,minmax
10,0.5,0.1,71,50000,2x5,0.08478813805497919,10,0.2520693598234595,0.01834862385321101,minmax
10,0.5,0.1,101,50000,2x5,0.08581173453565791,10,0.2667372448771035,0.06422018348623854,minmax
11,0.5,0.1,11,50000,1x11,0.08346354595924964,11,0.26082792491831763,0.7568807339449541,minmax
11,0.5,0.1,29,50000,1x11,0.08297225551005269,11,0.25823503931197905,0.40825688073394495,minmax
11,0.5,0.1,47,50000,1x11,0.08215982308119688,11,0.25247408987547737,0.5642201834862385,minmax
11,0.5,0.1,71,50000,1x11,0.08418365995777805,11,0.27225565357908754,0.47706422018348627,minmax
11,0.5,0.1,101,50000,1x11,0.08241925405826082,11,0.25737871353712255,0.3761467889908257,minmax
12,0.5,0.1,11,50000,3x4,0.07997017071461024,12,0.2581121351864493,0.3577981651376147,minmax
12,0.5,0.1,29,50000,3x4,0.08112548640052979,12,0.25935741924560646,0.481651376146789,minmax
12,0.5,0.1,47,50000,3x4,0.0814693183341928,12,0.21803039422947273,0.28440366972477066,minmax
12,0.5,0.1,71,50000,3x4,0.0815905363235476,12,0.26192724937189443,0.11467889908256881,minmax
12,0.5,0.1,101,50000,3x4,0.0805715727615015,12,0.25659570720427477,0.19724770642201836,minmax
13,0.5,0.1,11,50000,1x13,0.07869960651382575,13,0.2591168215433927,0.45871559633027525,minmax
13,0.5,0.1,29,50000,1x13,0.08035098990637714,13,0.2609423598324778,0.5688073394495413,minmax
13,0.5,0.1,47,50000,1x13,0.07781821602666775,13,0.23238676366616468,0.555045871559633,minmax
13,0.5,0.1,71,50000,1x13,0.07972426634115572,13,0.25699534333498975,0.3440366972477064,minmax
13,0.5,0.1,101,50000,1x13,0.07998845514995523,13,0.22382310925599244,0.3348623853211009,minmax
14,0.5,0.1,11,50000,2x7,0.07785719032270667,14,0.23236672843513964,0.2981651376146789,minmax
14,0.5,0.1,29,50000,2x7,0.07698311240465923,14,0.2388012622672319,0.05963302752293578,minmax
14,0.5,0.1,47,50000,2x7,0.0764795335901669,14,0.22986390018555533,0.2018348623853211,minmax
14,0.5,0.1,71,50000,2x7,0.07726741773257437,14,0.22937804418993368,0.3165137614678899,minmax
14,0.5,0.1,101,50000,2x7,0.07728500142501878,14,0.21698621609818466,0.2706422018348624,minmax
15,0.5,0.1,11,50000,3x5,0.07512534560461098,15,0.2380309014958199,0.13761467889908258,minmax
15,0.5,0.1,29,50000,3x5,0.07640172488528478,15,0.21693358074929422,0.5504587155963303,minmax
15,0.5,0.1,47,50000,3x5,0.0753807906925801,15,0.23010883094455095,0.12844036697247707,minmax
15,0.5,0.1,71,50000,3x5,0.07645259605448464,15,0.2578556585375987,0.7614678899082569,minmax
15,0.5,0.1,101,50000,3x5,0.07610912206370528,15,0.23087989893422026,0.5137614678899083,minmax
16,0.5,0.1,11,50000,4x4,0.07304576444337581,16,0.2471492163367158,0.18807339449541285,minmax
16,0.5,0.1,29,50000,4x4,0.07409105781918235,16,0.23175172640694952,0.19724770642201836,minmax
16,0.5,0.1,47,50000,4x4,0.07437944037704843,16,0.239043340667663,0.0963302752293578,minmax
16,0.5,0.1,71,50000,4x4,0.07348067420217456,16,0.22868556113574723,0.30275229357798167,minmax
