id_a,id_b,cluster,DTW
C118,C051,1,0.4814430345623222
C118,C052,1,0.3426633747953096
C118,C053,1,0.41802617701929135
C118,C056,1,0.24836789608236726
C118,C057,1,0.2992789767434553
C118,C061,1,0.2910929850142639
C118,C062,1,0.27626567463303486
C118,C063,1,0.2745360573325514
C118,C064,1,0.25761119265344706
C118,C065,1,0.26081588812641965
C118,C086,1,0.2761457591292355
C118,C087,1,0.3542980690492302
C118,C091,1,0.305737493836789
C118,C092,1,0.2556072545209204
C118,C093,1,0.3064526243837914
C118,C095,1,0.2705640261838297
C118,C099,1,0.5338930357001465
C118,C100,1,0.6257942775317414
C118,C103,1,0.3140587909015331
C118,C104,1,0.30324601379819327
C118,C105,1,0.2653547121339968
C118,C106,1,0.3817272114100881
C118,C109,1,0.3545174092836011
C118,C110,1,0.49230324632739075
C125,C029,2,0.3473453809550232
C125,C044,2,0.6527163586004976
C125,C055,2,0.41525715155088283
C129,C005,1,0.3060988880413497
C129,C006,1,0.3149966754467627
C129,C007,1,0.4033058579764955
C129,C008,1,0.5519010367381931
C129,C009,1,0.309112110744422
C129,C010,1,0.34974176744148555
C129,C014,1,0.2807450076683079
C129,C015,1,0.3541933376278636
C129,C016,1,1.100169938684227
C129,C017,1,0.5029860483025228
C129,C018,1,0.3408503059262273
C129,C019,1,0.33852759585934267
C129,C025,1,0.3013350931919744
C129,C028,1,0.34783512636978253
C129,C030,1,0.274782454173262
C129,C031,1,0.36517969399719896
C129,C034,1,0.39482432609277696
C129,C035,1,0.34708928776337444
C129,C036,1,0.5146186273517169
C129,C037,1,0.30688147892321127
C129,C038,1,0.2781699944292088
C129,C045,1,0.25231490843467513
C129,C046,1,0.3808201684437372
C129,C047,1,0.6347144047119834
C129,C050,1,0.23030326701763168
C129,C051,1,0.8077366083750501
C129,C052,1,0.393176449623429
C129,C053,1,0.3012578192525454
C129,C056,1,0.2711696913628454
C129,C057,1,0.27278981377925327
C129,C061,1,0.3517552848197183
C129,C062,1,0.26683147611192337
C129,C063,1,0.26689321931351256
C129,C064,1,0.2886689185315316
C129,C065,1,0.23956825273698046
C129,C086,1,0.20740120419293262
C129,C087,1,0.3526527031512816
C129,C091,1,0.2654629178049929
C129,C092,1,0.24022891885145922
C129,C093,1,0.32575970631875245
C129,C095,1,0.3081512581406152
C129,C099,1,0.8536085121641331
C129,C100,1,0.864581429064011
C129,C103,1,0.29943352085537495
C129,C104,1,0.46928976426458713
C129,C105,1,0.2894556793369463
C129,C106,1,0.38965870048035356
C129,C109,1,0.386026315521728
C129,C110,1,0.40553662388878287
C129,C118,1,0.4135938455922487
C130,C005,1,0.3402061135083556
C130,C006,1,0.30467285846911213
C130,C007,1,0.5010737656210903
C130,C008,1,0.4975097179847729
C130,C009,1,0.1992851775305895
C130,C010,1,0.21726599294210083
C130,C014,1,0.41308778996956
C130,C015,1,0.3271172245290922
C130,C016,1,0.9189684971805224
C130,C017,1,0.6585596010257817
C130,C018,1,0.19038069654060816
C130,C019,1,0.17378185438935503
C130,C025,1,0.3562683925401741
C130,C028,1,0.4389612071140445
C130,C030,1,0.26579257781901944
C130,C031,1,0.5413159488588568
C130,C034,1,0.18573422461090192
C130,C035,1,0.1343054930449491
C130,C036,1,0.26962018476849253
C130,C037,1,0.27477974033601454
C130,C038,1,0.25412435891566043
C130,C045,1,0.258814293349138
C130,C046,1,0.379266924058196
C130,C047,1,0.7911746072037887
C130,C050,1,0.285221364952302
C130,C051,1,0.7333017906672256
C130,C052,1,0.27429750586329293
C130,C053,1,0.27677034813053203
C130,C056,1,0.2879225367030823
C130,C057,1,0.265991929644628
C130,C061,1,0.42482642172772084
C130,C062,1,0.33307550158446875
C130,C063,1,0.2478011541014636
C130,C064,1,0.23507806005588738
C130,C065,1,0.257006198897469
C130,C086,1,0.26598802481939693
C130,C087,1,0.5270564261589573
C130,C091,1,0.2121317918937373
C130,C092,1,0.2591986984919259
C130,C093,1,0.23320532112122702
C130,C095,1,0.25956408491223937
C130,C099,1,0.7684661086289134
C130,C100,1,0.7978101554809529
C130,C103,1,0.3410255562860115
C130,C104,1,0.49225369346928544
C130,C105,1,0.18908941105521745
C130,C106,1,0.16862125968480476
C130,C109,1,0.31275290509961257
C130,C110,1,0.37951957991396396
C130,C118,1,0.3875959990372945
C130,C129,1,0.3590322325905658
C138,C029,2,0.6701189830651159
C138,C044,2,0.874986067029792
C138,C055,2,0.8473964066601024
C138,C125,2,0.6707327751316166
C139,C005,1,0.29864631469121555
C139,C006,1,0.35694062182236214
C139,C007,1,0.13155448211247092
C139,C008,1,0.41326822335295554
C139,C009,1,0.5027530489236833
C139,C010,1,0.5191435803923931
C139,C014,1,0.18951292601396472
C139,C015,1,0.5348534591049359
C139,C016,1,0.8958443029951406
C139,C017,1,0.14877062866030394
C139,C018,1,0.5719129996807821
C139,C019,1,0.5488091975756115
C139,C025,1,0.2018586378995134
C139,C028,1,0.1727858035351336
C139,C030,1,0.38797207395012506
C139,C031,1,0.3081038467858542
C139,C034,1,0.5425094471530587
C139,C035,1,0.5232206891226902
C139,C036,1,0.7009036855481993
C139,C037,1,0.25413091702840523
C139,C038,1,0.24962439560897667
C139,C045,1,0.26565794547858357
C139,C046,1,0.24908526576208057
C139,C047,1,0.3287778672420442
C139,C050,1,0.32750232552324465
C139,C051,1,0.5386878146662037
C139,C052,1,0.4299899200659382
C139,C053,1,0.5599994616030826
C139,C056,1,0.25089507748397905
C139,C057,1,0.3673361398954656
C139,C061,1,0.13458777834172395
C139,C062,1,0.24835805932333865
C139,C063,1,0.33078154745817856
C139,C064,1,0.34614934451056606
C139,C065,1,0.33740897632775063
C139,C086,1,0.4183310791376267
C139,C087,1,0.2555873116320633
C139,C091,1,0.47566404582519045
C139,C092,1,0.304799968442469
C139,C093,1,0.5322257967180235
C139,C095,1,0.3495836112809554
C139,C099,1,0.5660914017168119
C139,C100,1,0.65641035547525
C139,C103,1,0.314866893482924
C139,C104,1,0.1841037525064174
C139,C105,1,0.3653234628320577
C139,C106,1,0.48520354667306237
C139,C109,1,0.5198928465646423
C139,C110,1,0.6803812444640489
C139,C118,1,0.3589883044069979
C139,C129,1,0.4439017782506213
C139,C130,1,0.5683308928261107
C140,C005,1,0.21023695191935002
C140,C006,1,0.22083481961964888
C140,C007,1,0.2393236952359775
C140,C008,1,0.4373871600438627
C140,C009,1,0.241815273015358
C140,C010,1,0.23859034488339936
C140,C014,1,0.21281602217394907
C140,C015,1,0.2891400932928508
C140,C016,1,0.895643240991247
C140,C017,1,0.4450531418129518
C140,C018,1,0.24502432047494163
C140,C019,1,0.24475686716725528
C140,C025,1,0.12471281563959266
C140,C028,1,0.2078658062285405
C140,C030,1,0.19060494202345668
C140,C031,1,0.40958804384580366
C140,C034,1,0.25307279022931417
C140,C035,1,0.19252869191015437
C140,C036,1,0.4422803513333896
C140,C037,1,0.10428694929504394
C140,C038,1,0.11846282503551761
C140,C045,1,0.1261588904333707
C140,C046,1,0.13561555688109267
C140,C047,1,0.49103278700402414
C140,C050,1,0.17365977453041512
C140,C051,1,0.6019310134461306
C140,C052,1,0.21598903913012713
C140,C053,1,0.267745058312853
C140,C056,1,0.1149950156504783
C140,C057,1,0.2083688630971429
C140,C061,1,0.21686930293687276
C140,C062,1,0.1684633489514148
C140,C063,1,0.1810659043576758
C140,C064,1,0.1620447804976393
C140,C065,1,0.17046442028218703
C140,C086,1,0.18165380332086714
C140,C087,1,0.38300458415306876
C140,C091,1,0.21602252472944722
C140,C092,1,0.13717485692806078
C140,C093,1,0.23519673971258645
C140,C095,1,0.21406461259843393
