K,mode,replicate,ARI
4,bootstrap95,20,1.0
5,bootstrap95,20,0.9918985300047656
6,bootstrap95,20,0.9150326797385621
7,bootstrap95,20,0.9076665970336327
8,bootstrap95,20,0.8470588235294118
9,bootstrap95,20,0.9266537027157921
10,bootstrap95,20,0.9316846986089644
2,bootstrap95,21,0.859235887489676
3,bootstrap95,21,0.6682071120936083
4,bootstrap95,21,0.8971500323427571
5,bootstrap95,21,0.7035562967480757
6,bootstrap95,21,0.664214458305059
7,bootstrap95,21,0.6742029938718592
8,bootstrap95,21,0.877337349840197
9,bootstrap95,21,0.940344817318286
10,bootstrap95,21,0.6692476597711776
2,bootstrap95,22,1.0
3,bootstrap95,22,0.7201822772757028
4,bootstrap95,22,1.0
5,bootstrap95,22,0.9272712282290864
6,bootstrap95,22,0.9210102095647501
7,bootstrap95,22,0.7005619153095127
8,bootstrap95,22,0.943082607779108
9,bootstrap95,22,0.9395547129406333
10,bootstrap95,22,0.9396069193963931
2,bootstrap95,23,1.0
3,bootstrap95,23,0.6190906625689234
4,bootstrap95,23,1.0
5,bootstrap95,23,0.8996956597592417
6,bootstrap95,23,0.8303700523740019
7,bootstrap95,23,0.8327736736064473
8,bootstrap95,23,0.6529013748365556
9,bootstrap95,23,0.9982643193652369
10,bootstrap95,23,0.6190678309239314
2,bootstrap95,24,1.0
3,bootstrap95,24,0.7691191954788663
4,bootstrap95,24,0.9050937733936628
5,bootstrap95,24,0.899953451366582
6,bootstrap95,24,0.7490496673463617
7,bootstrap95,24,0.6906986765856591
8,bootstrap95,24,0.7742964203141194
9,bootstrap95,24,0.85986204932042
10,bootstrap95,24,0.8642761794075896
2,bootstrap95,25,1.0
3,bootstrap95,25,1.0
4,bootstrap95,25,0.9221277556241065
5,bootstrap95,25,0.9902067464635473
6,bootstrap95,25,0.7546468401486989
7,bootstrap95,25,0.7557087462300732
8,bootstrap95,25,0.9958256772850318
9,bootstrap95,25,0.9311954660360434
10,bootstrap95,25,0.9368085106382978
2,bootstrap95,26,0.8579172286863237
3,bootstrap95,26,1.0
4,bootstrap95,26,0.9923812077451976
5,bootstrap95,26,0.9933214469191018
6,bootstrap95,26,0.9955754869967367
7,bootstrap95,26,0.9059500354637875
8,bootstrap95,26,0.9157893521391849
9,bootstrap95,26,0.9981542162100463
10,bootstrap95,26,0.36237738026543564
2,bootstrap95,27,1.0
3,bootstrap95,27,1.0
4,bootstrap95,27,0.9933044956491004
5,bootstrap95,27,0.9888692276956448
6,bootstrap95,27,0.8202889471829607
7,bootstrap95,27,0.7509141436302472
8,bootstrap95,27,0.9212327565025097
9,bootstrap95,27,0.43715231497994456
10,bootstrap95,27,0.42297650130548303
2,bootstrap95,28,1.0
3,bootstrap95,28,0.6229434389930565
4,bootstrap95,28,0.682731097904828
5,bootstrap95,28,0.7980612432612769
6,bootstrap95,28,0.7616163809975983
7,bootstrap95,28,0.5990355583651504
8,bootstrap95,28,0.8174995585378775
9,bootstrap95,28,0.9970373109619495
10,bootstrap95,28,0.9383033747870637
2,bootstrap95,29,1.0
3,bootstrap95,29,1.0
4,bootstrap95,29,0.9924032198626275
