variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,7,0.5202282150969025,1.4762654685454393,0.1845331835681799,0.43647798742138366,0.22727826474443014,7.0,0.0,0.027672955974842768,0.2008340362922649,0.12973787943224713,1.5669631159553186,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_sequential,8,0.4462922604761532,1.4519763268331696,0.1814970408541462,0.6018867924528302,0.21906807570501793,8.0,0.0,0.024528301886792454,0.20221875592619956,0.13086987468356248,1.6136776025789514,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,2,0.9821589935133499,2.2817518042311624,0.2852189755288953,0.0,0.7356526080195702,2.0,0.0,0.055345911949685536,1.4011701624327888,0.21113226738405935,6.636456756642314,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,3,0.2923186518427819,1.920327354443577,0.24004091930544713,0.014465408805031447,0.33336597247290284,3.0,0.0,0.050314465408805034,0.3861874634131147,0.17794985617475761,2.1702038524363,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,4,0.793126095533653,1.7611237388715555,0.22014046735894444,0.0,0.3629495649878192,4.0,0.0,0.04213836477987421,0.3909979439693494,0.17422176584117044,2.244254281773031,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,5,0.4178076761274392,1.6514439713243017,0.2064304964155377,0.6874213836477987,0.3211860705668556,5.0,0.0,0.024528301886792454,0.31042037711326714,0.15538293282505297,1.9977765348320102,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,6,0.6313894997374415,1.5437603143406338,0.19297003929257922,0.11949685534591195,0.2855246909116491,6.0,0.0,0.029559748427672956,0.2685493477388781,0.1449258611595013,1.8530119164961685,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,7,0.5005695314850932,1.4687099887815267,0.18358874859769084,0.45660377358490567,0.23174707391649435,7.0,0.0,0.01949685534591195,0.210157998031096,0.13135758493272348,1.6385075950778634,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.1_random,8,0.5155080008663576,1.4740783780931874,0.18425979726164843,0.29056603773584905,0.2535065460812025,8.0,0.0,0.014465408805031447,0.2063358157911293,0.13556885089274878,1.5220001824227578,0.3,0.1,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,2,1.0,2.3140875933578045,0.28926094916972556,0.0,0.7382120026569177,2.0,0.0,0.05345911949685535,1.481528213342639,0.21402003118678325,6.922381073959997,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,3,1.0,2.0304780031306153,0.2538097503913269,0.04716981132075472,0.3273799977389797,3.0,0.0,0.045283018867924525,0.4245262719503333,0.19547327416185017,2.171786776317347,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,4,1.0,1.8578758787605891,0.23223448484507364,0.0,0.3221714092207701,4.0,0.0,0.03459119496855346,0.4028184338595814,0.1865937474768133,2.1587992057851673,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,5,0.9236480083830791,1.7195945736361644,0.21494932170452055,0.9578616352201258,0.33044345898423716,5.0,0.0,0.02830188679245283,0.35965586825704915,0.16993981717524656,2.116371985289627,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,6,0.56130540903491,1.6767370874745273,0.20959213593431592,0.0440251572327044,0.3218914061670736,6.0,0.0,0.013207547169811321,0.351810142043951,0.17052425982685412,2.063109040315475,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,7,0.5532351503215295,1.6099255149323706,0.20124068936654632,0.7911949685534592,0.28544415135941886,7.0,0.0,0.011320754716981131,0.3140339535882528,0.16010982154091277,1.9613659584652432,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,8,0.7004335994257073,1.4757434132135605,0.18446792665169506,0.13522012578616352,0.24726107942118414,8.0,0.0,0.010062893081761006,0.22345693682760032,0.13392143591615996,1.6725029123535184,0.3,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_random,2,0.9526195585335837,2.2920326574910916,0.28650408218638646,0.0,0.7349264418590369,2.0,0.0,0.0559748427672956,1.37161066914265,0.21199879459974047,6.596297741669996,0.3,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_random,3,0.3755753693863775,1.9535293342661244,0.24419116678326555,0.01761006289308176,0.34540752091274113,3.0,0.0,0.04654088050314465,0.3872959215539748,0.18250019111700572,2.122167210792382,0.3,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.3_random,4,0.5755206061311267,1.8354640862061298,0.22943301077576622,0.0,0.3566459568800117,4.0,0.0,0.03459119496855346,0.4110046489428206,0.18446705283910064,2.310777810006133,0.3,0.3,True,300,coverage,z_level,1590,64,0.7557034220532319
