k,sigma,lr,seed,iterations,grid,qe,occupied,method
6,0.5,0.3,11,50000,2x3,0.458402988535272,6,threshold_p02
6,0.5,0.3,29,50000,2x3,0.46244170502509757,6,threshold_p02
6,0.5,0.3,47,50000,2x3,0.48061307200346326,6,threshold_p02
6,0.5,0.3,71,50000,2x3,0.4590685165654969,6,threshold_p02
6,0.5,0.3,101,50000,2x3,0.4468101436488011,6,threshold_p02
7,0.5,0.3,11,50000,1x7,0.43379991082972313,7,threshold_p02
7,0.5,0.3,29,50000,1x7,0.4283402771814654,7,threshold_p02
7,0.5,0.3,47,50000,1x7,0.4311298541310032,7,threshold_p02
7,0.5,0.3,71,50000,1x7,0.4358968419225613,7,threshold_p02
7,0.5,0.3,101,50000,1x7,0.4394893811697592,7,threshold_p02
8,0.5,0.3,11,50000,2x4,0.3841960330856991,8,threshold_p02
8,0.5,0.3,29,50000,2x4,0.4098453025560691,8,threshold_p02
8,0.5,0.3,47,50000,2x4,0.4111676788768858,8,threshold_p02
8,0.5,0.3,71,50000,2x4,0.3864722483072087,8,threshold_p02
8,0.5,0.3,101,50000,2x4,0.38957492697328944,8,threshold_p02
9,0.5,0.3,11,50000,3x3,0.3517178367299795,9,threshold_p02
9,0.5,0.3,29,50000,3x3,0.3701172483871279,9,threshold_p02
9,0.5,0.3,47,50000,3x3,0.34591307333869475,9,threshold_p02
9,0.5,0.3,71,50000,3x3,0.3726019091072748,9,threshold_p02
9,0.5,0.3,101,50000,3x3,0.353920385167192,9,threshold_p02
10,0.5,0.3,11,50000,2x5,0.35625087681503387,10,threshold_p02
10,0.5,0.3,29,50000,2x5,0.3402831581143047,10,threshold_p02
10,0.5,0.3,47,50000,2x5,0.3388159940908209,10,threshold_p02
10,0.5,0.3,71,50000,2x5,0.35934146547453844,10,threshold_p02
10,0.5,0.3,101,50000,2x5,0.3724198648476478,10,threshold_p02
11,0.5,0.3,11,50000,1x11,0.3160190268438287,11,threshold_p02
11,0.5,0.3,29,50000,1x11,0.32139486247345567,11,threshold_p02
11,0.5,0.3,47,50000,1x11,0.3267956030329708,11,threshold_p02
11,0.5,0.3,71,50000,1x11,0.3274231824124708,11,threshold_p02
11,0.5,0.3,101,50000,1x11,0.3452135256411244,11,threshold_p02
12,0.5,0.3,11,50000,3x4,0.3372403778174503,12,threshold_p02
12,0.5,0.3,29,50000,3x4,0.3163315589590378,12,threshold_p02
12,0.5,0.3,47,50000,3x4,0.30511881559461784,12,threshold_p02
12,0.5,0.3,71,50000,3x4,0.3124591074309831,12,threshold_p02
12,0.5,0.3,101,50000,3x4,0.3230072340888975,12,threshold_p02
13,0.5,0.3,11,50000,1x13,0.33306433093644316,13,threshold_p02
13,0.5,0.3,29,50000,1x13,0.2945020780938375,13,threshold_p02
13,0.5,0.3,47,50000,1x13,0.3135272037257792,13,threshold_p02
13,0.5,0.3,71,50000,1x13,0.30459329056481294,13,threshold_p02
13,0.5,0.3,101,50000,1x13,0.3089150493550471,13,threshold_p02
14,0.5,0.3,11,50000,2x7,0.2817697423163555,14,threshold_p02
14,0.5,0.3,29,50000,2x7,0.282512179831101,14,threshold_p02
14,0.5,0.3,47,50000,2x7,0.2940856185903314,14,threshold_p02
14,0.5,0.3,71,50000,2x7,0.2841469804870263,14,threshold_p02
14,0.5,0.3,101,50000,2x7,0.29091468673536675,14,threshold_p02
15,0.5,0.3,11,50000,3x5,0.2737084697341421,15,threshold_p02
15,0.5,0.3,29,50000,3x5,0.27013407818282525,15,threshold_p02
