variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0750_dense_z_level_d1,paper_sigma05_lr03_seq,4,750,dense,z_level_d1,576,0.7581637850194526,0.13555987939890868,1201.5,2,False,Hill-like;Slope-like
w0200_dense_z_level_d1_d2,random_sigma05_lr01,4,200,dense,z_level_d1_d2,522,0.7388728780616618,0.0580227393301738,,2,False,Bridge-like;Slope-like
w0300_dense_z_level,random_sigma05_lr01,4,300,dense,z_level,682,0.7356630957454176,0.303763898352244,972.5,2,False,Bridge-like;Slope-like
w0500_coverage_z_level_d1,random_sigma05_lr01,5,500,coverage,z_level_d1,1198,0.7311517428712414,0.1489215529233877,1255.5,2,False,Hill-like;Other/mixed;Slope-like
w0300_detail_z_level_d1,random_sigma12_lr03,3,300,detail,z_level_d1,1325,0.7296798217230765,0.19439765137582118,891.5,2,False,Bridge-like;Slope-like
w0500_dense_z_level,random_sigma05_lr01,4,500,dense,z_level,774,0.7196069144675512,0.2705447538001511,869.5,2,False,Slope-like;Valley-like
w0500_coverage_z_level_d1,paper_sigma05_lr01_seq,5,500,coverage,z_level_d1,1198,0.7118709434441155,0.15318101931329922,1225.5,2,False,Bridge-like;Other/mixed;Slope-like
w0300_dense_z_level_d1,random_sigma12_lr03,4,300,dense,z_level_d1,682,0.7037279821097188,0.14492645264737194,931.0,2,False,Hill-like;Slope-like
w0750_dense_z_level_d1,paper_sigma05_lr01_seq,4,750,dense,z_level_d1,576,0.6966602137665611,0.13493327601587007,1208.5,2,False,Hill-like;Slope-like
w0750_dense_z_level_d1_d2,random_sigma05_lr01,4,750,dense,z_level_d1_d2,576,0.6898696745933233,0.05244828301118656,1312.5,2,False,Hill-like;Slope-like
w0150_dense_z_level_d1,random_sigma12_lr03,4,150,dense,z_level_d1,422,0.67882801985639,0.1488667488487283,,2,False,Hill-like;Slope-like
w0300_coverage_z_level,random_sigma05_lr01,5,300,coverage,z_level,1590,0.6786883807638437,0.2969894111144843,970.5,2,False,Bridge-like;Other/mixed;Slope-like
w0200_coverage_z_level_d1_d2,random_sigma12_lr03,4,200,coverage,z_level_d1_d2,1770,0.6649801046363227,0.06189883285390188,,2,False,Bridge-like;Slope-like
w0750_dense_z_level_d1,paper_sigma03_lr01_seq,4,750,dense,z_level_d1,576,0.6620297859168475,0.13484744346120536,1193.5,2,False,Hill-like;Slope-like
w0750_dense_z_level,random_sigma12_lr03,5,750,dense,z_level,576,0.6610395500822214,0.18726682001739925,1311.0,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1_d2,paper_sigma05_lr03_seq,5,150,dense,z_level_d1_d2,422,0.6354800524461918,0.0562597867126166,,2,False,Hill-like;Slope-like
w0300_dense_z_level,random_sigma12_lr03,5,300,dense,z_level,682,0.6352874003943457,0.22439368358992165,1282.5,2,False,Bridge-like;Slope-like
w0150_dense_z_level_d1_d2,random_sigma05_lr01,5,150,dense,z_level_d1_d2,422,0.6327159883653142,0.054978211172152645,,2,False,Bridge-like;Slope-like
w0750_detail_z_level_d1_d2,paper_sigma05_lr01_seq,4,750,detail,z_level_d1_d2,734,0.6246910324553709,0.05362672865460839,1244.5,2,False,Bridge-like;Slope-like
w0200_detail_z_level_d1_d2,paper_sigma03_lr01_seq,5,200,detail,z_level_d1_d2,1269,0.6217668648112549,0.026704714170110312,,2,False,Bridge-like;Slope-like
w0750_coverage_z_level_d1_d2,random_sigma12_lr03,3,750,coverage,z_level_d1_d2,770,0.610339051687979,0.06515998280949004,1263.0,2,False,Hill-like;Slope-like
w0500_dense_z_level_d1,random_sigma12_lr03,3,500,dense,z_level_d1,774,0.6089112052427118,0.15805079141825468,1089.0,2,False,Bridge-like;Slope-like
w1000_detail_z_level_d1,paper_sigma05_lr01_seq,5,1000,detail,z_level_d1,472,0.6074737099433366,0.1421675426348,1463.5,2,False,Hill-like;Other/mixed;Slope-like
